Store,Transaction_ID,Customer_ID,Product_name,Product_Quality,Total_Sales
258,47,46,Kettle Mozzarella   Basil & Pesto 175g,1.9361702127659575,335.9
259,1642,248,Woolworths Medium   Salsa 300g,1.9756394640682096,11540.9
260,628,304,Infzns Crn Crnchers Tangy Gcamole 110g,1.9729299363057324,5432.25
261,1582,374,Pringles Sweet&Spcy BBQ 134g,1.9829329962073325,13859.75
262,1320,243,Smiths Crinkle Cut  French OnionDip 150g,1.9977272727272728,9261.1
263,61,55,Smiths Crinkle Cut  Snag&Sauce 150g,1.3770491803278688,300.5
264,547,332,WW Supreme Cheese   Corn Chips 200g,1.3180987202925045,2519.8
265,530,320,Smiths Thinly       Swt Chli&S/Cream175G,1.3358490566037735,2433.4
266,477,301,Thins Chips         Originl saltd 175g,1.071278825995807,1742.7
267,66,64,Burger Rings 220g,1.106060606060606,275.4
268,546,333,Woolworths Medium   Salsa 300g,1.3406593406593406,2601.05
269,1607,251,Pringles Sthrn FriedChicken 134g,1.9856876166770379,11221.8
270,1630,243,Smiths Thinly Cut   Roast Chicken 175g,1.9846625766871167,11293.95
271,1385,239,Smiths Chip Thinly  S/Cream&Onion 175g,1.9783393501805053,9721.8
272,563,288,Smiths Crinkle      Original 330g,1.8880994671403197,4653.95
